,Kristen,,,,,Jinha,,,,,J,,,,,Rachel,,,,,Yini,,,,
Number,Relevant,User_Ideoloby,How,Obamacare_Att,How,Relevant,User_Ideoloby,How,Obamacare_Att,How,Relevant,User_Ideoloby,How,Obamacare_Att,How,Relevant,User_IdeoLoby,How,ObAmAcAre_Att,How,Relevant,User_Ideoloby,How,ObamaCare_Att,How
78,Y,C,bio,A,text,Y,U,bio,A,text,,,,,,,,,,,,,,,
79,Y,U,,U,,Y,N,bio,P,text,,,,,,,,,,,,,,,
80,Y,C,bio,A,text,Y,C,link,A,text,,,,,,,,,,,,,,,
81,Y,L,link,P,L,Y,U,bio,P,text,,,,,,,,,,,,,,,
82,Y,C,text,A,text,N,C,bio,U,text,,,,,,,,,,,,,,,
83,Y,C,bio,A,text,Y,C,bio,U,text,,,,,,,,,,,,,,,
84,Y,L,bio,P,text,Y,L,bio,P,link,,,,,,,,,,,,,,,
85,Y,C,bio,A,text,Y,C,bio,A,text,,,,,,,,,,,,,,,
86,Y,C,text,A,text,Y,C,bio,A,text,,,,,,,,,,,,,,,
87,Y,C,text,A,text,Y,C,bio,A,text,,,,,,,,,,,,,,,
88,Y,U,,U,,Y,U,bio,U,text,,,,,,,,,,,,,,,
89,Y,C,text,P,text,Y,C,bio,A,text,,,,,,,,,,,,,,,
90,Y,C,text,A,text,Y,U,bio,A,text,,,,,,,,,,,,,,,
91,Y,C,bio,A,text,Y,C,bio,A,text,,,,,,,,,,,,,,,
92,Y,U,,A,text,Y,U,bio,A,text,,,,,,,,,,,,,,,
93,Y,L,link,P,text,Y,L,bio,P,link,,,,,,,,,,,,,,,
94,Y,U,,P,text,Y,U,bio,P,link,,,,,,,,,,,,,,,
95,Y,C,text,A,text,Y,C,bio,A,text,,,,,,,,,,,,,,,
96,Y,L,link,P,text,Y,U,bio,A,text,,,,,,,,,,,,,,,
97,Y,C,bio,A,text,Y,C,bio,A,text,,,,,,,,,,,,,,,
98,Y,C,bio,A,text,Y,C,bio,A,text,,,,,,,,,,,,,,,
99,Y,C,bio,A,text,Y,C,bio,A,text,,,,,,,,,,,,,,,
100,Y,L,bio,P,text,Y,L,bio,P,text,,,,,,,,,,,,,,,
101,Y,L,bio,P,text,Y,L,bio,P,text,,,,,,,,,,,,,,,
102,Y,C,bio,A,L,Y,C,bio,A,link,,,,,,,,,,,,,,,
103,Y,C,bio,A,text,Y,C,bio,A,text,,,,,,,,,,,,,,,
104,Y,L,bio,P,text,Y,L,bio,P,text,,,,,,,,,,,,,,,
105,Y,C,bio,A,L,Y,C,bio,A,text,,,,,,,,,,,,,,,
106,Y,C,bio,A,text,Y,C,bio,A,text,,,,,,,,,,,,,,,
107,Y,U,,U,,Y,C,bio,A,link,,,,,,,,,,,,,,,
108,Y,C,text,A,text,Y,C,bio,A,text,,,,,,,,,,,,,,,
109,Y,C,bio,A,text,Y,C,bio,A,text,,,,,,,,,,,,,,,
110,Y,C,link,A,text,Y,C,bio,A,text,,,,,,,,,,,,,,,
111,Y,C,bio,A,L,Y,C,bio,A,link,,,,,,,,,,,,,,,
112,Y,U,,U,,Y,U,bio,U,link,,,,,,,,,,,,,,,
113,Y,C,bio,A,text,Y,C,bio,A,text,,,,,,,,,,,,,,,
